Home Team Initials,Away Team Initials,weight,HomeGoalTotal
ALG,AUT,1,5
ALG,CHI,1,5
ALG,ESP,1,5
ALG,NIR,1,5
ALG,RUS,1,5
ALG,SVN,1,5
ANG,POR,1,0
ARG,BEL,4,111
ARG,BIH,1,111
ARG,BRA,3,111
ARG,BUL,3,111
ARG,CHI,1,111
ARG,CIV,1,111
ARG,CMR,1,111
ARG,CRO,1,111
ARG,ENG,3,111
ARG,ESP,1,111
ARG,FRA,2,111
ARG,FRG,2,111
ARG,GDR,1,111
ARG,GER,1,111
ARG,GRE,1,111
ARG,HAI,1,111
ARG,HUN,2,111
ARG,IRN,1,111
ARG,ITA,1,111
ARG,JAM,1,111
ARG,JPN,1,111
ARG,KOR,2,111
ARG,MEX,3,111
ARG,NED,1,111
ARG,NGA,3,111
ARG,NIR,1,111
ARG,PER,1,111
ARG,POL,1,111
ARG,ROU,1,111
ARG,SCG,1,111
ARG,SLV,1,111
ARG,SUI,3,111
ARG,URS,1,111
ARG,URU,1,111
ARG,USA,1,111
AUS,CHI,1,7
AUS,ESP,1,7
AUS,FRG,1,7
AUS,JPN,1,7
AUS,NED,1,7
AUS,SRB,1,7
AUT,ESP,1,31
AUT,FRA,2,31
AUT,FRG,1,31
AUT,HUN,1,31
AUT,NIR,1,31
AUT,SCO,1,31
AUT,SUI,1,31
AUT,SWE,1,31
AUT,TCH,2,31
AUT,URU,1,31
AUT,USA,1,31
BEL,ALG,1,27
BEL,ESP,1,27
BEL,HUN,1,27
BEL,KOR,2,27
BEL,KSA,1,27
BEL,MAR,1,27
BEL,MEX,2,27
BEL,NED,1,27
BEL,RUS,2,27
BEL,SLV,2,27
BEL,URS,1,27
BEL,URU,1,27
BEL,USA,2,27
BIH,IRN,1,3
BOL,ESP,1,1
BRA,ALG,1,180
BRA,ARG,1,180
BRA,AUS,1,180
BRA,AUT,2,180
BRA,BEL,1,180
BRA,BOL,1,180
BRA,BUL,1,180
BRA,CHI,5,180
BRA,CHN,1,180
BRA,CIV,1,180
BRA,CMR,1,180
BRA,COL,2,180
BRA,CRC,1,180
BRA,CRO,2,180
BRA,DEN,1,180
BRA,ENG,3,180
BRA,ESP,3,180
BRA,FRA,4,180
BRA,GDR,1,180
BRA,GER,2,180
BRA,GHA,1,180
BRA,ITA,3,180
BRA,MAR,1,180
BRA,MEX,4,180
BRA,NED,3,180
BRA,NOR,1,180
BRA,NZL,1,180
BRA,PER,2,180
BRA,POL,4,180
BRA,PRK,1,180
BRA,ROU,1,180
BRA,RUS,1,180
BRA,SCO,3,180
BRA,SUI,1,180
BRA,SWE,5,180
BRA,TCH,5,180
BRA,TUR,2,180
BRA,URS,2,180
BRA,URU,1,180
BRA,USA,1,180
BRA,WAL,1,180
BRA,YUG,3,180
BUL,GER,1,11
BUL,GRE,1,11
BUL,ITA,2,11
BUL,MAR,1,11
BUL,NED,1,11
BUL,URU,1,11
CAN,FRA,1,0
CHI,AUS,1,25
CHI,AUT,2,25
CHI,CMR,1,25
CHI,ESP,1,25
CHI,FRA,1,25
CHI,GDR,1,25
CHI,ITA,1,25
CHI,MEX,1,25
CHI,SUI,2,25
CHI,URS,1,25
CHI,USA,1,25
CHI,YUG,1,25
CHN,CRC,1,0
CIV,JPN,1,5
CIV,POR,1,5
CIV,SCG,1,5
CMR,AUT,1,11
CMR,BRA,1,11
CMR,COL,1,11
CMR,CRO,1,11
CMR,DEN,1,11
CMR,GER,1,11
CMR,KSA,1,11
CMR,NED,1,11
CMR,ROU,1,11
CMR,SWE,1,11
CMR,URS,1,11
COL,CIV,1,11
COL,ENG,1,11
COL,GRE,1,11
COL,ROU,1,11
COL,TUN,1,11
COL,URU,2,11
CRC,BRA,1,7
CRC,ENG,1,7
CRC,GRE,2,7
CRC,POL,1,7
CRC,SCO,1,7
CRC,TUR,1,7
CRO,AUS,1,3
CRO,MEX,2,3
CUB,ROU,2,5
CZE,GHA,1,0
CZE,ITA,1,0
DEN,ENG,1,13
DEN,ESP,1,13
DEN,FRA,1,13
DEN,FRG,1,13
DEN,JPN,1,13
DEN,SEN,1,13
DEN,URU,1,13
ECU,CRC,1,4
ECU,CRO,1,4
ECU,FRA,1,4
ECU,GER,1,4
ENG,ALG,1,54
ENG,ARG,2,54
ENG,AUT,1,54
ENG,BEL,2,54
ENG,BRA,1,54
ENG,BUL,1,54
ENG,CHI,1,54
ENG,CMR,1,54
ENG,ECU,1,54
ENG,EGY,1,54
ENG,FRA,2,54
ENG,FRG,1,54
ENG,IRL,1,54
ENG,ITA,1,54
ENG,KUW,1,54
ENG,MAR,1,54
ENG,MEX,1,54
ENG,NED,1,54
ENG,PAR,2,54
ENG,POL,1,54
ENG,POR,2,54
ENG,ROU,1,54
ENG,SUI,1,54
ENG,SWE,1,54
ENG,TCH,2,54
ENG,TRI,1,54
ENG,TUN,1,54
ENG,URU,1,54
ENG,USA,1,54
ESP,BEL,1,50
ESP,BRA,2,50
ESP,BUL,1,50
ESP,CHI,2,50
ESP,ENG,2,50
ESP,FRA,1,50
ESP,HON,2,50
ESP,IRL,1,50
ESP,KOR,2,50
ESP,MEX,1,50
ESP,NED,1,50
ESP,NGA,1,50
ESP,PAR,2,50
ESP,POR,1,50
ESP,SUI,3,50
ESP,SVN,1,50
ESP,SWE,1,50
ESP,TUN,1,50
ESP,UKR,1,50
ESP,USA,1,50
ESP,YUG,2,50
FRA,BEL,2,68
FRA,CRO,1,68
FRA,DEN,1,68
FRA,FRG,2,68
FRA,GER,2,68
FRA,HON,1,68
FRA,HUN,1,68
FRA,KOR,1,68
FRA,KSA,1,68
FRA,KUW,1,68
FRA,MEX,4,68
FRA,NGA,2,68
FRA,NIR,2,68
FRA,PAR,2,68
FRA,RSA,2,68
FRA,SCO,1,68
FRA,SEN,1,68
FRA,SUI,1,68
FRA,TCH,1,68
FRA,URS,1,68
FRA,URU,1,68
FRG,ALG,1,99
FRG,ARG,2,99
FRG,AUT,2,99
FRG,BUL,1,99
FRG,CHI,3,99
FRG,COL,1,99
FRG,ENG,3,99
FRG,ESP,2,99
FRG,FRA,1,99
FRG,HUN,1,99
FRG,ITA,2,99
FRG,MAR,1,99
FRG,MEX,2,99
FRG,NED,2,99
FRG,NIR,1,99
FRG,PER,1,99
FRG,POL,1,99
FRG,SCO,1,99
FRG,SUI,2,99
FRG,SWE,1,99
FRG,TCH,2,99
FRG,TUN,1,99
FRG,TUR,2,99
FRG,UAE,1,99
FRG,URS,1,99
FRG,URU,2,99
FRG,YUG,3,99
GDR,AUS,1,3
GDR,FRG,1,3
GDR,NED,1,3
GER,ALG,2,69
GER,ARG,3,69
GER,AUS,1,69
GER,AUT,1,69
GER,BEL,2,69
GER,BOL,1,69
GER,BRA,1,69
GER,CRC,1,69
GER,CRO,1,69
GER,ENG,1,69
GER,ESP,2,69
GER,GHA,1,69
GER,IRL,1,69
GER,IRN,1,69
GER,ITA,1,69
GER,KOR,2,69
GER,KSA,1,69
GER,MEX,1,69
GER,PAR,1,69
GER,POL,1,69
GER,POR,2,69
GER,SRB,1,69
GER,SWE,2,69
GER,USA,2,69
GER,YUG,1,69
GHA,AUS,1,4
GHA,GER,1,4
GHA,USA,2,4
GRE,ARG,1,4
GRE,CIV,1,4
GRE,NGA,2,4
HAI,POL,1,0
HON,CHI,1,2
HON,ECU,1,2
HON,NIR,1,2
HON,SUI,1,2
HON,YUG,1,2
HUN,ARG,1,73
HUN,BRA,2,73
